id;ci;primerNom;segundoNom;primerApe;segundoApe;genero;fechaNacimiento;email;calle;npuerta;id_ciudad;habilitado;id_tipo;especialidad;usuario;contrasena;pin
13;4596088;Aldo;NULL;Barrios;Lopez;H;1979-03-17;tincidunt.adipiscing@egetvenenatis.ca;"Av. Rivera";4235;25;NULL;2;"Medicina General";aldo79;b8o4bw;NULL
14;6663503;Guillermo;José;Rige;Gentry;H;2001-06-03;nec.leo.Morbi@iaculis.net;Magna;3339;28;NULL;2;Neurologo;rig01;y07b46;NULL
15;6695371;Lydia;Emilia;Colinas;Campos;M;1974-09-11;egestas@liberoestcongue.org;Libero;8243;1;NULL;2;Neumologa;lyd74;me4a6c;NULL
16;4068858;Javier;NULL;Park;Welch;H;2000-07-13;odio.Aliquam.vulputate@dapibusidblandit.edu;Augue;8682;1;NULL;2;Gastroenterologo;jav20;kvs6hk;NULL
17;5114430;Santiago;NULL;Garcia;Mercado;H;1978-10-04;nisl.sem@velesttempor.com;Dolor;7158;16;NULL;2;Infectologo;san78;n3a71h;NULL
18;3038135;Melanie;NULL;Burris;Crane;M;1992-04-07;gravida@purusmaurisa.com;Aliquam;4621;2;NULL;2;Neurologo;mel92;eo2161;NULL
19;3845826;Kevin;Ricardo;Alfonso;Perry;H;1972-11-11;bibendum.sed@dolor.edu;Amet;2092;28;NULL;2;Proctologo;kev72;3j7yc7;NULL
20;5185760;Vincente;NULL;Sanders;Chavez;H;1977-01-16;eget.metus@vulputate.edu;Egestas;6922;1;NULL;2;Reumatologo;vic77;55j9in;NULL
21;1298681;Ruby;NULL;Walto;Buker;H;2003-07-20;Lorem.ipsum@gmail.com;Bell;4789;7;1;3;NULL;NULL;NULL;NULL
22;4244423;Benjamin;Lucas;Norris;Ryan;H;2002-12-10;dis.parturient.montes@htomail.com;Palermo;1333;12;1;3;NULL;NULL;NULL;NULL
23;4925527;Mia;Lana;Velazquez;Glover;M;2014-01-11;arcu@mauris.edu.uy;Siracusa;8742;31;1;3;NULL;NULL;NULL;NULL
24;2113795;Eleanor;NULL;Casey;Haynes;M;1960-10-04;sagittis.Nullam.vitae@elementumategestas.org;"Calle 3";2284;25;1;3;NULL;NULL;NULL;NULL
25;5367691;Martin;Brian;Mcdowell;Mileto;H;1944-01-23;molestie.pharetra.nibh@enimMauris.com;Orinoco;4434;23;1;3;NULL;NULL;NULL;NULL
26;1161827;Kalani;NULL;Hilikiler;Mope;M;2009-05-26;non.dui@tinciduntcongueturpis.org;"Calle 4";5638;21;1;3;NULL;NULL;NULL;NULL
27;6865147;Mariela;Jasmine;Nicholson;Stephens;M;1980-04-02;mi@erosProinultrices.edu;Arocena;5050;6;1;3;NULL;NULL;NULL;NULL
28;6215711;Neville;Sean;Rice;Mills;H;1985-05-11;velit.Quisque@nibh.edu;"Av. Sayago";4469;16;1;3;NULL;NULL;NULL;NULL
29;3972336;Wilson;NULL;"Da Silva";Ferreira;H;2001-03-06;nisl@aliquam.net;Av.Millán;8976;28;1;3;NULL;NULL;NULL;NULL
30;1638544;Santiago;Nahuel;Hernandez;Rios;H;1982-07-23;enim.non@tortor.com;Av.Italia;9356;1;1;3;NULL;NULL;NULL;NULL
31;1840486;Facundo;Ezequiel;Ibañez;Martinez;H;1967-06-30;fringilla@aauctornon.co.uk;Aconcagua;3021;4;1;3;NULL;NULL;NULL;NULL
32;2411523;Marcelo;Usbo;Nelson;Alegre;H;1992-10-19;ac.risus@a.ca;"Av José Batlle y Ordóñez";9699;7;1;3;NULL;NULL;NULL;NULL
33;4142032;Anika;NULL;Fitzpatrick;Gray;M;1961-02-17;nisl@dictum.edu;Echeverria;4638;9;1;3;NULL;NULL;NULL;NULL
