id;ci;primerNom;segundoNom;primerApe;segundoApe;genero;fechaNacimiento;email;calle;npuerta;id_ciudad;habilitado;id_tipo;especialidad;usuario;contrasena;pin
71;2018614;Keaton;Lydia;Howell;Conley;M;1976-01-13;elit.elit.fermentum@Loremipsum.edu;"Av. 18 de Julio";8020;23;NULL;2;Gastroenterología;keat12;ho4k55;NULL
72;4086563;Gwendolyn;Lawrence;Horne;Puckett;H;1964-07-28;varius.et.euismod@sodales.org;"Calle 2";4516;6;NULL;2;Alergología;lynlaw;lyn6h63;NULL
73;4721360;Isaac;Joshua;Calhoun;Mercado;H;1962-09-17;vulputate@etultrices.co.uk;Confederada;2259;31;NULL;2;Angiología;isacc4;is5a4c;NULL
74;3594744;Germaine;Emma;Pate;Rollins;M;1972-06-22;vel@Donec.com;Carafí;7584;1;NULL;2;Hepatología;emma44;em4am4;NULL
75;4160504;Braian;NULL;Mccray;Odonnell;H;1978-09-25;eleifend.egestas@ametrisus.net;"Turpis Avenue";2318;1;NULL;1;NULL;bra78;0h56i6;2534
76;5195681;Nicole;Silvia;Buchanan;Ferreira;M;1987-07-16;vel.est@amalesuada.org;Mollis;1834;25;NULL;1;NULL;nic78;s7m4qf;5234
77;2542345;Melanie;Yennifer;Warren;Hart;M;1964-12-06;Cras@ultricesmaurisipsum.edu;Velodromo;9443;20;NULL;1;NULL;mel64;84ulkc;6324
78;4527576;Amanda;Yoko;Morales;Pacheco;M;1992-04-14;Curabitur@necmollis.org;"Av. Molestie";7292;1;NULL;1;NULL;ama92;clfv8w;1523
79;3970678;Karen;NULL;Blevins;Colon;M;1976-12-22;cursus.diam@elitNulla.org;Gravida;8878;30;NULL;1;NULL;kar76;g3b57t;4234
80;3271525;Ignacio;NULL;Sosa;Rose;H;1990-02-16;dapibus.rutrum@dictum.org;Purus;6339;29;NULL;1;NULL;ign90;b619jo;2315
81;4568360;Maximiliano;Xerxes;Louise;Velazquez;H;1984-12-30;per.inceptos.hymenaeos@acturpisegestas.com;"Av. giannatasio";3960;1;NULL;1;NULL;max84;p9u4rn;5214
82;2150312;Cesar;Carter;Villarreal;Oconnor;H;1993-08-17;faucibus@eleifendegestasSed.net;"Jose belloni";2057;22;NULL;1;NULL;ces93;xir00p;9089
83;3563054;Enzo;Vincente;Antoñoni;Mcmillan;H;1968-01-05;euismod@nectempusmauris.net;"Av. Egestas";7865;3;NULL;1;NULL;enz68;ah9fx5;8669
